utc_timestamp,Electricity_load,Residential_electricity_price,Temperature,Relative Humidity
2019-09-30 00:00:00,0.039200000000000006,0.072639353,10.7,92.77
2019-09-30 00:15:00,0.054400000000000004,0.074356745,10.9,92.97
2019-09-30 00:30:00,0.0432,0.060821087,10.375,93.55
2019-09-30 00:45:00,0.062400000000000004,0.06051022,9.85,94.13
2019-09-30 01:00:00,0.0432,0.06472019,10.1,94.38
2019-09-30 01:15:00,0.0712,0.087074389,10.3,94.58
2019-09-30 01:30:00,0.0488,0.066791312,9.775,95.505
2019-09-30 01:45:00,0.05280000000000001,0.084799616,9.25,96.43
2019-09-30 02:00:00,0.0584,0.057508701,9.5,96.68
2019-09-30 02:15:00,0.05360000000000001,0.089928367,9.7,96.88
2019-09-30 02:30:00,0.06480000000000001,0.065270519,9.425,96.785
2019-09-30 02:45:00,0.0816,0.053089614,9.15,96.69
2019-09-30 03:00:00,0.046400000000000004,0.101585888,9.4,96.94
2019-09-30 03:15:00,0.068,0.088797959,9.6,97.14
2019-09-30 03:30:00,0.064,0.070773258,9.325,97.2
2019-09-30 03:45:00,0.055200000000000006,0.071163619,9.05,97.26
2019-09-30 04:00:00,0.06480000000000001,0.058347278,9.3,97.51
2019-09-30 04:15:00,0.0944,0.069547437,9.5,97.71
2019-09-30 04:30:00,0.0832,0.092469406,9.175,97.79
2019-09-30 04:45:00,0.064,0.060380478,8.85,97.87
2019-09-30 05:00:00,0.10720000000000002,0.074460972,9.1,98.12
2019-09-30 05:15:00,0.0736,0.062348705,9.3,98.32
2019-09-30 05:30:00,0.10160000000000001,0.047714246,9.075,97.96
2019-09-30 05:45:00,0.11599999999999999,0.06065412,8.85,97.6
2019-09-30 06:00:00,0.09280000000000001,0.068209456,9.1,97.85
2019-09-30 06:15:00,0.11359999999999999,0.065492602,9.3,98.05
2019-09-30 06:30:00,0.0848,0.070708056,9.475,96.92
2019-09-30 06:45:00,0.11599999999999999,0.069762508,9.65,95.79
2019-09-30 07:00:00,0.09280000000000001,0.061567715,9.9,96.04
2019-09-30 07:15:00,0.1176,0.062657153,10.1,96.24
2019-09-30 07:30:00,0.09920000000000001,0.062620421,10.425,94.54
2019-09-30 07:45:00,0.1008,0.084784576,10.75,92.84
2019-09-30 08:00:00,0.1008,0.037283622,11.0,93.09
2019-09-30 08:15:00,0.07600000000000001,0.053235091,11.2,93.29
2019-09-30 08:30:00,0.0728,0.071995753,11.725,89.855
2019-09-30 08:45:00,0.08560000000000001,0.07572359,12.25,86.42
2019-09-30 09:00:00,0.1184,0.054972458,12.5,86.67
2019-09-30 09:15:00,0.09040000000000001,0.094451982,12.7,86.87
2019-09-30 09:30:00,0.10960000000000002,0.065638854,12.975,83.735
2019-09-30 09:45:00,0.09360000000000002,0.057761311,13.25,80.6
2019-09-30 10:00:00,0.08080000000000001,0.092531261,13.5,80.85
2019-09-30 10:15:00,0.0976,0.059723109,13.7,81.05
2019-09-30 10:30:00,0.0736,0.055806153,13.625,79.525
2019-09-30 10:45:00,0.0976,0.074669524,13.55,78.0
2019-09-30 11:00:00,0.07680000000000001,0.083888318,13.8,78.25
2019-09-30 11:15:00,0.0872,0.079475354,14.0,78.45
2019-09-30 11:30:00,0.10400000000000001,0.073432141,13.775,77.52
2019-09-30 11:45:00,0.07840000000000001,0.069213981,13.55,76.59
2019-09-30 12:00:00,0.07840000000000001,0.06737987,13.8,76.84
2019-09-30 12:15:00,0.07600000000000001,0.068540003,14.0,77.04
2019-09-30 12:30:00,0.07840000000000001,0.08822081,13.675,76.95
2019-09-30 12:45:00,0.10800000000000001,0.083535008,13.35,76.86
2019-09-30 13:00:00,0.07680000000000001,0.062534459,13.6,77.11
2019-09-30 13:15:00,0.09280000000000001,0.057221468,13.8,77.31
2019-09-30 13:30:00,0.08960000000000001,0.061777066,13.325,79.06
2019-09-30 13:45:00,0.0728,0.078829201,12.85,80.81
2019-09-30 14:00:00,0.07440000000000001,0.058862814,13.1,81.06
2019-09-30 14:15:00,0.08000000000000002,0.070732341,13.3,81.26
2019-09-30 14:30:00,0.0952,0.073924082,12.725,83.54
2019-09-30 14:45:00,0.10400000000000001,0.05141388,12.15,85.82
2019-09-30 15:00:00,0.0872,0.062001405,12.4,86.07
2019-09-30 15:15:00,0.08080000000000001,0.085511453,12.6,86.27
2019-09-30 15:30:00,0.10960000000000002,0.07905572,11.975,88.72
2019-09-30 15:45:00,0.0712,0.075860076,11.35,91.17
2019-09-30 16:00:00,0.07600000000000001,0.070356304,11.6,91.42
2019-09-30 16:15:00,0.1128,0.060252822,11.8,91.62
2019-09-30 16:30:00,0.0752,0.051806721,11.325,92.475
2019-09-30 16:45:00,0.09280000000000001,0.088719058,10.85,93.33
2019-09-30 17:00:00,0.09360000000000002,0.068505524,11.1,93.58
2019-09-30 17:15:00,0.0984,0.085678479,11.3,93.78
2019-09-30 17:30:00,0.0712,0.097717444,10.925,94.14
2019-09-30 17:45:00,0.08080000000000001,0.065373372,10.55,94.5
2019-09-30 18:00:00,0.0824,0.084787963,10.8,94.75
2019-09-30 18:15:00,0.0736,0.071075976,11.0,94.95
2019-09-30 18:30:00,0.096,0.105303106,10.725,94.74
2019-09-30 18:45:00,0.0848,0.077833057,10.45,94.53
2019-09-30 19:00:00,0.064,0.066698999,10.7,94.78
2019-09-30 19:15:00,0.0944,0.067882832,10.9,94.98
2019-09-30 19:30:00,0.09040000000000001,0.080521409,10.625,94.85
2019-09-30 19:45:00,0.0984,0.057649635,10.35,94.72
2019-09-30 20:00:00,0.1008,0.091257371,10.6,94.97
2019-09-30 20:15:00,0.0864,0.075440505,10.8,95.17
2019-09-30 20:30:00,0.08960000000000001,0.051925169,10.525,95.135
2019-09-30 20:45:00,0.08080000000000001,0.073291056,10.25,95.1
2019-09-30 21:00:00,0.08560000000000001,0.086828026,10.5,95.35
2019-09-30 21:15:00,0.0696,0.070065363,10.7,95.55
2019-09-30 21:30:00,0.07840000000000001,0.056651116,10.475,95.27
2019-09-30 21:45:00,0.0656,0.062030177,10.25,94.99
2019-09-30 22:00:00,0.0816,0.068790673,10.5,95.24
2019-09-30 22:15:00,0.0504,0.084672443,10.7,95.44
2019-09-30 22:30:00,0.0704,0.074624443,10.425,95.365
2019-09-30 22:45:00,0.08960000000000001,0.07200541,10.15,95.29
